order_id,date,time,time
1,1/1/2015,11:38:36,11
2,1/1/2015,11:57:40,11
3,1/1/2015,12:12:28,12
4,1/1/2015,12:16:31,12
5,1/1/2015,12:21:30,12
6,1/1/2015,12:29:36,12
7,1/1/2015,12:50:37,12
8,1/1/2015,12:51:37,12
9,1/1/2015,12:52:01,12
10,1/1/2015,13:00:15,1
11,1/1/2015,13:02:59,1
12,1/1/2015,13:04:41,1
13,1/1/2015,13:11:55,1
14,1/1/2015,13:14:19,1
15,1/1/2015,13:33:00,1
16,1/1/2015,13:34:07,1
17,1/1/2015,13:53:00,1
18,1/1/2015,13:57:08,1
19,1/1/2015,13:59:09,1
20,1/1/2015,14:03:08,2
21,1/1/2015,14:14:29,2
22,1/1/2015,14:16:26,2
23,1/1/2015,14:19:03,2
24,1/1/2015,14:23:01,2
25,1/1/2015,14:44:44,2
26,1/1/2015,14:54:26,2
27,1/1/2015,15:11:17,3
28,1/1/2015,15:35:46,3
29,1/1/2015,15:41:01,3
30,1/1/2015,15:41:25,3
31,1/1/2015,15:50:18,3
32,1/1/2015,15:53:18,3
33,1/1/2015,15:54:08,3
34,1/1/2015,16:21:21,4
35,1/1/2015,16:32:04,4
36,1/1/2015,16:54:09,4
37,1/1/2015,16:56:09,4
38,1/1/2015,17:03:00,5
39,1/1/2015,17:07:23,5
40,1/1/2015,17:14:36,5
41,1/1/2015,17:15:20,5
42,1/1/2015,17:28:09,5
43,1/1/2015,17:38:34,5
44,1/1/2015,17:54:20,5
45,1/1/2015,17:55:48,5
46,1/1/2015,18:25:51,6
47,1/1/2015,18:26:34,6
48,1/1/2015,18:26:42,6
49,1/1/2015,18:33:00,6
50,1/1/2015,18:41:01,6
51,1/1/2015,18:48:28,6
52,1/1/2015,18:53:02,6
53,1/1/2015,18:54:17,6
54,1/1/2015,19:01:45,7
55,1/1/2015,19:03:19,7
56,1/1/2015,19:07:00,7
57,1/1/2015,19:10:51,7
58,1/1/2015,19:30:40,7
59,1/1/2015,19:40:08,7
60,1/1/2015,20:05:16,8
61,1/1/2015,20:08:43,8
62,1/1/2015,20:50:16,8
63,1/1/2015,20:51:42,8
64,1/1/2015,20:52:08,8
65,1/1/2015,21:16:00,9
66,1/1/2015,21:47:55,9
67,1/1/2015,22:03:40,10
68,1/1/2015,22:07:32,10
69,1/1/2015,22:12:13,10
70,1/2/2015,11:38:51,11
71,1/2/2015,11:40:50,11
72,1/2/2015,11:57:25,11
73,1/2/2015,11:58:56,11
74,1/2/2015,12:01:12,12
75,1/2/2015,12:10:15,12
76,1/2/2015,12:21:17,12
77,1/2/2015,12:22:46,12
78,1/2/2015,12:28:14,12
79,1/2/2015,12:29:11,12
80,1/2/2015,12:35:38,12
81,1/2/2015,12:40:01,12
82,1/2/2015,12:45:51,12
83,1/2/2015,12:53:27,12
84,1/2/2015,13:13:41,1
85,1/2/2015,13:34:49,1
86,1/2/2015,13:40:31,1
87,1/2/2015,14:01:02,2
88,1/2/2015,14:10:08,2
89,1/2/2015,14:30:19,2
90,1/2/2015,15:08:48,3
91,1/2/2015,15:14:43,3
92,1/2/2015,15:17:02,3
93,1/2/2015,15:29:31,3
94,1/2/2015,16:17:16,4
95,1/2/2015,16:18:04,4
96,1/2/2015,16:21:20,4
97,1/2/2015,16:45:33,4
98,1/2/2015,17:18:18,5
99,1/2/2015,17:45:42,5
100,1/2/2015,17:46:17,5
101,1/2/2015,17:51:33,5
102,1/2/2015,17:54:04,5
103,1/2/2015,18:02:09,6
104,1/2/2015,18:02:12,6
105,1/2/2015,18:12:01,6
106,1/2/2015,18:12:13,6
107,1/2/2015,18:25:09,6
108,1/2/2015,18:25:25,6
109,1/2/2015,18:27:50,6
110,1/2/2015,18:36:19,6
111,1/2/2015,18:38:01,6
112,1/2/2015,18:41:40,6
113,1/2/2015,18:50:21,6
114,1/2/2015,18:59:32,6
115,1/2/2015,19:05:17,7
116,1/2/2015,19:18:49,7
117,1/2/2015,19:23:02,7
118,1/2/2015,19:26:59,7
119,1/2/2015,19:32:29,7
120,1/2/2015,19:35:07,7
121,1/2/2015,19:38:48,7
122,1/2/2015,19:50:19,7
123,1/2/2015,20:12:09,8
124,1/2/2015,20:12:34,8
125,1/2/2015,20:31:06,8
126,1/2/2015,20:53:42,8
127,1/2/2015,20:58:23,8
128,1/2/2015,21:05:06,9
129,1/2/2015,21:13:02,9
130,1/2/2015,21:14:55,9
131,1/2/2015,21:33:10,9
132,1/2/2015,21:42:45,9
133,1/2/2015,22:00:17,10
134,1/2/2015,22:13:24,10
135,1/2/2015,22:29:34,10
136,1/2/2015,22:32:49,10
137,1/3/2015,11:34:10,11
138,1/3/2015,11:44:50,11
139,1/3/2015,11:57:39,11
140,1/3/2015,12:26:44,12
141,1/3/2015,13:16:01,1
142,1/3/2015,13:33:59,1
143,1/3/2015,13:41:36,1
144,1/3/2015,13:44:28,1
145,1/3/2015,13:53:48,1
146,1/3/2015,14:22:10,2
147,1/3/2015,14:32:51,2
148,1/3/2015,14:40:42,2
149,1/3/2015,14:48:45,2
150,1/3/2015,14:49:58,2
151,1/3/2015,15:09:34,3
152,1/3/2015,15:09:42,3
153,1/3/2015,15:16:34,3
154,1/3/2015,15:22:43,3
155,1/3/2015,15:28:59,3
156,1/3/2015,15:42:19,3
157,1/3/2015,15:43:03,3
158,1/3/2015,15:54:30,3
159,1/3/2015,15:59:22,3
160,1/3/2015,16:35:33,4
161,1/3/2015,16:43:46,4
162,1/3/2015,16:51:22,4
163,1/3/2015,16:54:54,4
164,1/3/2015,16:56:33,4
165,1/3/2015,16:57:37,4
166,1/3/2015,16:58:51,4
